# Score-readout lit-pixel series from assets/reference/skill3-video-tube.mp4, written by
#
#     python3 tools/video/score_windows.py --video --csv
#
# One row per video frame at 30 fps. lit_pixels is the count of pixels in the
# digit box (177, 208, 166, 220) whose cyan excess min(G,B)-R exceeds 45,
# after the box is placed by matching the readout's own SCORE label. lit = 1
# when lit_pixels >= 40, the floor the digits must clear before any
# reading is taken off them - the fabricated row this tool exists to prevent
# was read off a frame with 0.
# peak_luma is the brightest pixel in the same box, 0.299R+0.587G+0.114B. It is
# reported and never corrected: >= 240 means the panel is clipped and
# the digits on it may not be what the readout was showing.
frame,lit_pixels,lit,peak_luma
263,1230,1,250.2
264,1238,1,250.2
265,1122,1,247.5
266,1369,1,251.1
267,1390,1,249.9
268,1395,1,250.5
269,1269,1,249.6
270,1308,1,249.9
271,1308,1,249.9
272,1405,1,255.0
273,1294,1,253.2
274,1241,1,251.4
275,1273,1,250.8
276,1330,1,252.0
277,1291,1,251.1
278,1276,1,252.9
279,1334,1,251.7
280,1346,1,252.0
281,1364,1,252.6
282,1426,1,253.2
283,1438,1,253.2
284,1452,1,253.5
285,1351,1,255.0
286,1354,1,253.5
287,1356,1,252.3
288,1410,1,252.0
289,1413,1,252.9
290,1348,1,252.9
291,1354,1,252.0
292,1368,1,252.6
293,1388,1,253.5
294,1395,1,253.5
295,1374,1,252.6
296,1437,1,252.6
297,1446,1,252.6
298,1474,1,252.0
299,1325,1,253.2
300,1336,1,252.9
301,1402,1,252.9
302,1322,1,253.2
303,1327,1,253.2
304,1330,1,252.6
305,1346,1,252.6
306,1350,1,252.6
307,1313,1,252.3
308,1283,1,252.3
309,1323,1,252.3
310,1367,1,252.0
311,1386,1,251.7
312,1372,1,246.9
313,1340,1,248.4
314,1385,1,252.6
315,1341,1,252.6
316,1338,1,250.8
317,1306,1,247.5
318,1303,1,252.0
319,1382,1,253.2
320,1364,1,252.9
321,1363,1,252.9
322,1369,1,252.0
323,1366,1,252.3
324,1373,1,252.0
325,1301,1,249.0
326,1236,1,211.5
327,1230,1,213.8
328,1268,1,224.8
329,1000,1,215.8
330,902,1,204.4
331,1118,1,213.6
332,1090,1,213.6
333,1066,1,214.8
334,1036,1,215.9
335,974,1,212.1
336,1012,1,211.2
337,1024,1,218.3
338,1002,1,214.5
339,1016,1,212.4
340,0,0,178.5
341,576,1,228.4
342,524,1,228.4
343,608,1,229.1
344,870,1,218.0
345,976,1,219.2
346,966,1,210.6
347,958,1,211.7
348,736,1,214.8
349,726,1,214.8
350,968,1,218.3
351,928,1,219.5
352,884,1,220.7
353,0,0,188.5
354,1010,1,219.1
355,1140,1,217.3
356,1118,1,217.4
357,1048,1,221.8
358,1036,1,221.2
359,1144,1,217.4
360,1138,1,217.7
361,1128,1,216.5
362,1106,1,215.6
363,1134,1,214.0
364,1084,1,215.0
365,1088,1,215.3
366,1100,1,216.2
367,1124,1,215.0
368,1136,1,211.2
369,1136,1,211.5
370,1122,1,210.9
371,1138,1,210.6
372,1122,1,208.5
373,1148,1,219.4
374,1186,1,218.8
375,58,1,201.7
376,1088,1,213.3
377,1110,1,217.9
378,1122,1,212.4
379,1124,1,216.5
